id,name,askingPrice,address,city,state,zip,property_type,status,activatedOn,brokerageName
1678457,5555 Broadway St,19000000.0,,,,,,On-Market,2024-09-30 19:38:34,CBRE - Sacramento
1654745,Peck Hacienda Plaza,9250000.0,,,,,,On-Market,2024-08-27 00:44:27,"JLL - Los Angeles (West), California"
1664179,Walk-On’s Sports Bistreaux,6285715.0,,,,,,On-Market,2025-06-11 21:47:08,Stream Capital Partners
1678765,508 E Market St,4200000.0,,,,,,On-Market,2024-10-01 11:42:30,Vaaler Commercial Real Estate
1650316,Frito-Lay Distribution Center,3922815.0,,,,,,On-Market,2024-08-20 18:24:23,SURMOUNT
1698077,"Walgreens - Newark, OH",3725000.0,,,,,,On-Market,2024-10-29 13:37:18,"Colliers - Columbus, Ohio"
1649350,3357 HWY 54,3657500.0,,,,,,On-Market,2024-08-19 21:44:31,Gulfstream Commercial Services LLC Owensboro
1664090,919 W Baraga Ave,3500000.0,,,,,,On-Market,2025-01-14 18:33:49,RE/MAX 1st Realty
1640041,U.S. Department of Veterans Affairs,3320000.0,,,,,,On-Market,2024-08-08 14:33:58,"Colliers - Dallas, Texas"
1639670,"Cadence Academy Preschool - Myrtle Beach, SC",3240208.0,,,,,,On-Market,2024-08-07 10:45:58,Sands Investment Group
1639854,Bubba's 33,3219000.0,,,,,,On-Market,2024-08-07 11:18:50,SRS Real Estate Partners Newport Beach
1639458,Freddy's Frozen Custard & Steakburgers,2971000.0,,,,,,On-Market,2024-08-06 21:24:51,"Colliers - Los Angeles - Orange County, California"
1688845,"15-17 Salem Ave SE, Roanoke, VA 24011",2850000.0,,,,,,On-Market,2024-10-15 14:25:15,Hall Associates
1639234,309.10 Acre Panoche Row Crop,2781900.0,,,,,,On-Market,2024-08-06 19:16:17,Hoekstra & Associates Inc
1678835,Welborn Street and Oscar Street,2500000.0,,,,,,On-Market,2024-10-01 19:51:01,Trinity Partners
1664399,12.42% Cap Dark Walgreens I 2+ Years Left on Lease I 2.26 AC,2500000.0,,,,,,On-Market,2024-09-11 16:40:26,Franklin Street
1639850,Dollar Tree,2458000.0,,,,,,On-Market,2024-08-07 11:07:25,SRS Real Estate Partners Newport Beach
1664524,Annadele’s Plantation,1925000.0,,,,,,On-Market,2024-09-11 19:21:04,NAIRampart
1688621,The Orchard,1795000.0,,,,,,On-Market,2024-10-18 04:38:05,TOK Commercial
1640052,Land - Lindenhurst 4.33 Acres,1600000.0,,,,,,On-Market,2024-08-07 15:27:30,"Colliers - Rosemont, Illinois"
1698301,Quincy Street Development,1495000.0,,,,,,On-Market,2024-10-29 16:52:06,NorthEast Private Client Group Newton
1664380,TBD Highway 707,1400000.0,,,,,,On-Market,2024-09-10 17:59:16,NAI | The Litchfield Company
1639917,Family Dollar Anchored Site I High Yield I Long Term Tenancy,1395000.0,,,,,,On-Market,2025-04-22 13:24:47,Marcus & Millichap - Manhattan
1640092,Rally's,1325000.0,,,,,,On-Market,2024-08-13 15:14:33,The Gibson Company Commercial Real Estate
1664476,869 Bryan Road,1250000.0,,,,,,On-Market,2024-09-11 19:25:08,Pace Properties
1639058,3 Road 261,985000.0,,,,,,On-Market,2024-08-06 18:44:02,Montana Listings
1640889,398 Anthony Street,869000.0,,,,,,On-Market,2024-08-13 10:34:03,KW Platform
1654873,"For Sale: Former Church / School Building, Tucson AZ",756000.0,,,,,,On-Market,2024-08-27 19:56:51,Volk Company Commercial Real Estate
1640467,2 Fully Entitled Commercial Lots for Sale,739000.0,,,,,,On-Market,2024-08-07 21:15:26,Southeast Commercial Real Estate Services Gulfport
1688636,1301 Shelby Road,699000.0,,,,,,On-Market,2024-10-22 14:36:00,Point 135 Real Estate
1664274,12 Acres - Industrial Development in Opportunity Zone,650000.0,,,,,,On-Market,2024-09-10 16:02:27,Haag Brown Commercial Real Estate and Development
1639029,126 Murray St.,625000.0,,,,,,On-Market,2024-08-06 18:16:48,SVN Innovative Commercial Advisors
1674002,"4309-4311 SW 9th St, Des Moines",500000.0,,,,,,On-Market,2024-09-23 21:07:32,Toggle Space
1688184,3231 Engle Road Industrial Lot or Build To Suit,400000.0,,,,,,On-Market,2024-10-14 17:21:10,Allied Commercial
1640188,6661 Alden Nash Ave SE,395000.0,,,,,,On-Market,2024-08-08 07:23:02,NAI Wisinski of West Michigan - Grand Rapids
1639483,"3.44 Acres in Del Rio, TX",350000.0,,,,,,On-Market,2024-08-06 22:03:38,Net Leased Advisors
1639447,Pad Site available in Piedmont OK,350000.0,,,,,,On-Market,2024-08-06 22:06:45,Banta Property Group
1649310,"±2,520 OF OFFICE/ RETAIL SPACE IN EXCELLENT CONDITION",340000.0,,,,,,On-Market,2024-08-19 20:32:17,C21 Commercial
1664472,Rainbow Oaks & US 19,335000.0,,,,,,On-Market,2024-09-10 18:34:48,F.I. Grey & Son
1664124,"2331 N State Road 7 # 207",295999.0,,,,,,On-Market,2024-09-10 14:09:09,Total R E Consultants Inc
1698080,"110 Regent Court, Suite 200",289000.0,,,,,,On-Market,2024-10-29 13:48:08,KW Commercial State College
1630644,2628 19th St N,280000.0,,,,,,On-Market,2024-07-29 11:12:12,Red Rock Realty Group
1664568,332 Adams St SE,250000.0,,,,,,On-Market,2024-09-10 19:37:33,Johnson Commercial Real Estate
1987791,"3.96 Acre Lot | San Marcos, TX",150000.0,,,,,,Auction,2025-06-30 20:17:02,Commercial Real Estate Exchange Inc
1639311,7285 N West Street,141670.0,,,,,,On-Market,2024-08-06 19:51:56,NAI NP Dodge
1678794,10850 Lincoln Trail,25000.0,,,,,,On-Market,2024-10-01 09:53:47,LOCATION Commercial Real Estate
1688911,Roans Creek North - Commercial Land,,,,,,,On-Market,2024-10-15 14:28:30,Stirling Daphne
1688643,Mallard Cove,,,,,,,On-Market,2024-10-15 22:58:37,SVN | J. Beard Real Estate - Greater Houston
1688540,Rivoire Business Park,,,,,,,On-Market,2024-10-15 10:18:43,Younger Partners
1688254,Wexford Woodlands,,,,,,,On-Market,2024-10-14 18:30:28,Legacy Realty Partners
1688177,Class A Development Tracts - Metter Ga I-16,,,,,,,On-Market,2024-10-14 18:09:27,Blokk Commercial Real Estate
1678493,"4999 DeZavala Rd, San Antonio, TX",,,,,,,On-Market,2024-09-30 20:08:06,DH Realty Partners San Antonio
1674174,East Corner of Highway 20 and Placid Road,,,,,,,On-Market,2024-09-24 13:31:57,Q4 Real Estate
1664689,Prime Hotel Site On I-65,,,,,,,On-Market,2024-09-10 21:10:37,Aronov Realty Brokerage
1664348,19825 N 7th Street,,,,,,,On-Market,2024-09-10 17:03:19,"Colliers - Phoenix, Arizona"
1654617,On Target Archery,,,,,,,On-Market,2024-08-26 20:49:27,M&D CRE
1650279,"Pad F-3 1.19 AC | Block 505 at Centerra, Loveland",,,,,,,On-Market,2024-08-20 17:55:03,Legend Partners Colorado
1650088,"5850 Sky Pond, Loveland, CO 80538",,,,,,,On-Market,2024-08-20 15:21:57,Legend Partners Colorado
1640184,Greenville 109 - NEQ S.H. 66 & F.M. 1570,,,,,,,On-Market,2024-08-07 16:58:22,Thornberry Land Company
1630677,40 Silva Ln,,,,,,,On-Market,2024-07-29 09:25:33,The Stubblebine Company
